iata,name,city,state,country
RNH,New Richmond Regional Airport,New Richmond,Wisconsin,US
RNO,Reno/Tahoe International Airport,Reno,Nevada,US
RNT,Renton Municipal Airport,Renton,Washington,US
ROA,Roanoke/Blacksburg Regional (Woodrum Field) Airport,Roanoke,Virginia,US
ROC,Frederick Douglass/Greater Rochester International Airport,Rochester,New York,US
ROG,Rogers Executive - Carter Field,Rogers,Arkansas,US
ROW,Roswell Air Center Airport,Roswell,New Mexico,US
ROX,Roseau Municipal/Rudy Billberg Field,Roseau,Minnesota,US
RIE,Rice Lake Regional/Carl's Field,Rice Lake,Wisconsin,US
RPX,Roundup Airport,Roundup,Montana,US
WBR,Roben-Hood Airport,Big Rapids,Michigan,US
RRL,Merrill Municipal Airport,Merrill,Wisconsin,US
RRT,Warroad International Memorial Airport,Warroad,Minnesota,US
RSL,Russell Municipal Airport,Russell,Kansas,US
RSN,Ruston Regional Airport,Ruston,Louisiana,US
RST,Rochester International Airport,Rochester,Minnesota,US
RSW,Southwest Florida International Airport,Fort Myers,Florida,US
RTN,Raton Municipal/Crews Field,Raton,New Mexico,US
SRW,Mid-Carolina Regional Airport,Salisbury,North Carolina,US
RUT,Rutland/Southern Vermont Regional Airport,Rutland,Vermont,US
RED,Mifflin County Airport,Reedsville,Pennsylvania,US
RVS,Tulsa Riverside Airport,Tulsa,Oklahoma,US
RWF,Redwood Falls Municipal Airport,Redwood Falls,Minnesota,US
RWI,Rocky Mount/Wilson Regional Airport,Rocky Mount,North Carolina,US
RWL,Rawlins Municipal/Harvey Field,Rawlins,Wyoming,US
RXE,Rexburg-Madison County Airport,Rexburg,Idaho,US
RNZ,Jasper County Airport,Rensselaer,Indiana,US
AHM,Ashland Municipal/Sumner Parker Field,Ashland,Oregon,US
BDY,Bandon State Airport,Bandon,Oregon,US
SUO,Sunriver Airport,Sunriver,Oregon,US
MDJ,Madras Municipal Airport,Madras,Oregon,US
PRZ,Prineville Airport,Prineville,Oregon,US
SAA,Shively Field,Saratoga,Wyoming,US
SAC,Sacramento Executive Airport,Sacramento,California,US
SAD,Safford Regional Airport,Safford,Arizona,US
SAF,Santa Fe Regional Airport,Santa Fe,New Mexico,US
SAN,San Diego International Airport,San Diego,California,US
SAR,Sparta Community-Hunter Field,Sparta,Illinois,US
SAS,Salton Sea Airport,Salton City,California,US
SAT,San Antonio International Airport,San Antonio,Texas,US
SAV,Savannah/Hilton Head International Airport,Savannah,Georgia,US
MQT,Marquette/Sawyer Regional Airport,Marquette,Michigan,US
